"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"08/01/2014","LOESTRIN FE 1/20NDA   #017354","SUPPL-46","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","TEVA BRANDED PHARM","Manufacturing (CMC)","Approval"
"08/01/2014","STERILE WATER FOR INJECTIONNDA   #018801","SUPPL-36","STERILE WATER FOR INJECTION","HOSPIRA","Manufacturing (CMC)","Approval"
"08/01/2014","METRONIDAZOLE IN PLASTIC CONTAINERNDA   #018890","SUPPL-49","METRONIDAZOLE","HOSPIRA","Manufacturing (CMC)","Approval"
"08/01/2014","DIFFERINNDA   #020748","SUPPL-9","ADAPALENE","GALDERMA LABS LP","Manufacturing (CMC)","Approval"
"08/01/2014","KEPPRA XRNDA   #022285","SUPPL-18","LEVETIRACETAM","UCB INC","Efficacy","Approval"
"08/01/2014","EPIDUONDA   #022320","SUPPL-8","ADAPALENE; BENZOYL PEROXIDE","GALDERMA LABS LP","Manufacturing (CMC)","Approval"
"08/01/2014","TYVASONDA   #022387","SUPPL-11","TREPROSTINIL","UNITED THERAP","Labeling","Approval"
"08/01/2014","NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONEANDA  #062938","SUPPL-14","DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","PERRIGO CO TENNESSEE","Manufacturing (CMC)","Approval"
"08/01/2014","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATEANDA  #075618","SUPPL-21","ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","HIKMA INTL PHARMS","Labeling","Approval"
"08/01/2014","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHENANDA  #076475","SUPPL-15","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","PAR PHARM","Labeling","Approval"
"08/01/2014","GLIMEPIRIDEANDA  #078181","SUPPL-6","GLIMEPIRIDE","ACCORD HLTHCARE","Labeling","Approval"
"08/01/2014","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHENANDA  #090460","SUPPL-2","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","ZYDUS PHARMS USA INC","Labeling","Approval"
"08/01/2014","DOXYCYCLINEANDA  #090855","ORIG-1","DOXYCYCLINE","MYLAN","","Tentative Approval"
"08/01/2014","SILDENAFIL CITRATEANDA  #091379","SUPPL-1","SILDENAFIL CITRATE","APOTEX CORP","Labeling","Approval"
"08/01/2014","LUMIZYMEBLA   #125291","SUPPL-136","ALGLUCOSIDASE ALFA","GENZYME","","Approval"
"08/01/2014","HALAVENNDA   #201532","SUPPL-9","ERIBULIN MESYLATE","EISAI INC","Labeling","Approval"
"08/01/2014","TRAMADOL HYDROCHLORIDE AND ACETAMINOPHENANDA  #201952","SUPPL-1","ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE","MICRO LABS LTD INDIA","Labeling","Approval"
"08/01/2014","INLYTANDA   #202324","SUPPL-2","AXITINIB","PF PRISM CV","Labeling","Approval"
"08/01/2014","OXYCODONE HYDROCHLORIDEANDA  #203823","ORIG-1","OXYCODONE HYDROCHLORIDE","LANNETT CO INC","","Approval"
"08/01/2014","JARDIANCENDA   #204629","ORIG-1","EMPAGLIFLOZIN","BOEHRINGER INGELHEIM","Type 1 - New Molecular Entity","Approval"
