"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"01/02/2013","MINOCYCLINE HYDROCHLORIDEANDA  #063009","SUPPL-34","MINOCYCLINE HYDROCHLORIDE","ZYDUS","Labeling","Approval"
"01/02/2013","OCTREOTIDE ACETATE (PRESERVATIVE FREE)ANDA  #076313","SUPPL-8","OCTREOTIDE ACETATE","WEST-WARD PHARMS INT","Labeling","Approval"
"01/02/2013","CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGYANDA  #076502","SUPPL-9","FEXOFENADINE HYDROCHLORIDE","DR REDDYS LABS LTD","Manufacturing (CMC)","Approval"
"01/02/2013","CHILDREN'S FEXOFENADINE HYDROCHLORIDE HIVESANDA  #076502","SUPPL-9","FEXOFENADINE HYDROCHLORIDE","DR REDDYS LABS LTD","Manufacturing (CMC)","Approval"
"01/02/2013","FEXOFENADINE HYDROCHLORIDEANDA  #076502","SUPPL-9","FEXOFENADINE HYDROCHLORIDE","DR REDDYS LABS LTD","Manufacturing (CMC)","Approval"
"01/02/2013","FEXOFENADINE HYDROCHLORIDE ALLERGYANDA  #076502","SUPPL-9","FEXOFENADINE HYDROCHLORIDE","DR REDDYS LABS LTD","Manufacturing (CMC)","Approval"
"01/02/2013","FEXOFENADINE HYDROCHLORIDE HIVESANDA  #076502","SUPPL-9","FEXOFENADINE HYDROCHLORIDE","DR REDDYS LABS LTD","Manufacturing (CMC)","Approval"
"01/02/2013","SULFAMETHOXAZOLE AND TRIMETHOPRIMANDA  #090624","SUPPL-2","SULFAMETHOXAZOLE; TRIMETHOPRIM","AUROBINDO PHARMA","Manufacturing (CMC)","Approval"
"01/03/2013","PROZACNDA   #018936","SUPPL-97","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling","Approval"
"01/03/2013","PROZACNDA   #018936","SUPPL-98","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling","Approval"
"01/03/2013","SARAFEMNDA   #018936","SUPPL-97","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling","Approval"
"01/03/2013","SARAFEMNDA   #018936","SUPPL-98","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling","Approval"
"01/03/2013","ALEVENDA   #020204","SUPPL-42","NAPROXEN SODIUM","BAYER","Manufacturing (CMC)","Approval"
"01/03/2013","PROZAC WEEKLYNDA   #021235","SUPPL-19","FLUOXETINE HYDROCHLORIDE","LILLY","Labeling","Approval"
